datetime,price_uniswap,volume_eth_uniswap,direction_uniswap,price_binance,volume_eth_binance,direction_binance
2025-12-01 00:00:11+00:00,2992.7503525676893,65965693,sell,2992.94,0.06574375029235467,buy
2025-12-01 00:00:11+00:00,2989.968839920136,2018671469,buy,2992.94,0.06574375029235467,buy
2025-12-01 00:00:23+00:00,2992.871503830389,1057497801,sell,2992.94,0.06574375029235467,buy
2025-12-01 00:00:35+00:00,2994.2112972873765,11364916223,sell,2992.94,0.06574375029235467,buy
2025-12-01 00:00:47+00:00,2995.899545247315,4281902844,sell,2992.94,0.06574375029235467,buy
2025-12-01 00:00:59+00:00,2997.009011979126,5999072779,sell,2992.94,0.06574375029235467,buy
2025-12-01 00:01:11+00:00,2998.2070062497087,5100000000,sell,2993.51,0.06106082727783542,buy
2025-12-01 00:01:35+00:00,2995.408132191003,3257067047,buy,2994.08,0.05637790426331616,buy
2025-12-01 00:01:47+00:00,2994.540754564739,4782355277,buy,2994.65,0.05169498124879691,buy
2025-12-01 00:01:47+00:00,2993.949121044201,702234508,buy,2995.22,0.04701205823427765,buy
2025-12-01 00:01:59+00:00,2993.695567523266,1648384375,buy,2995.79,0.042329135219758396,buy
2025-12-01 00:02:23+00:00,2995.83890857706,216685366,sell,2995.2219999999998,0.10476851396650871,buy
2025-12-01 00:02:23+00:00,2992.26572918742,5576536997,buy,2994.654,0.16720789271325903,buy
2025-12-01 00:02:23+00:00,2994.772415115347,1057459431,sell,2994.086,0.22964727146000935,buy
2025-12-01 00:02:23+00:00,2993.1690852949505,3232622612,buy,2993.518,0.29208665020675967,buy
2025-12-01 00:02:35+00:00,2994.939824545943,494257314,sell,2992.95,0.35452602895351,buy
2025-12-01 00:02:47+00:00,2995.190440003869,1828627263,sell,2992.382,0.4169654077002603,buy
2025-12-01 00:02:47+00:00,2995.721519512996,3093489457,sell,2991.814,0.4794047864470106,buy
2025-12-01 00:03:11+00:00,2993.03162377353,263280299,buy,2991.246,0.5418441651937609,buy
2025-12-01 00:03:23+00:00,2996.0200629801766,200000000,sell,2990.678,0.6042835439405112,buy
2025-12-01 00:03:35+00:00,2994.5758797902977,1368321886,buy,2990.11,0.6667229226872615,buy
2025-12-01 00:03:35+00:00,2994.9558623920448,2153812965,buy,2989.542,0.7291623014340118,buy
2025-12-01 00:03:35+00:00,2997.276791201309,8419820588,sell,2988.974,0.7916016801807622,buy
2025-12-01 00:03:35+00:00,2996.20490200395,1512954033,sell,2988.406,0.8540410589275125,buy
2025-12-01 00:03:47+00:00,2992.946352732573,13736765060,buy,2987.838,0.9164804376742628,buy
2025-12-01 00:03:59+00:00,2991.126497213229,3141038246,buy,2987.27,0.9789198164210131,sell
2025-12-01 00:04:11+00:00,2986.115158748735,43338537607,buy,2986.427272727273,0.9235187323102073,sell
2025-12-01 00:04:23+00:00,2993.078816517001,3133414823,sell,2985.5845454545456,0.8681176481994015,sell
2025-12-01 00:04:23+00:00,2993.426805919126,92594120,sell,2984.741818181818,0.8127165640885956,sell
2025-12-01 00:04:23+00:00,2992.730209411807,18115005562,sell,2983.899090909091,0.7573154799777898,sell
2025-12-01 00:04:23+00:00,2989.115312945712,12325369729,buy,2983.0563636363636,0.701914395866984,sell
2025-12-01 00:04:35+00:00,2988.797097815851,26833881909,buy,2982.2136363636364,0.6465133117561782,sell
2025-12-01 00:04:35+00:00,2985.002888781321,8387254995,buy,2981.370909090909,0.5911122276453724,sell
2025-12-01 00:04:35+00:00,2983.716991101631,3553155884,buy,2980.528181818182,0.5357111435345665,sell
2025-12-01 00:04:47+00:00,2989.869931987336,32951602899,sell,2979.6854545454544,0.48031005942376076,sell
2025-12-01 00:04:47+00:00,2992.669038217221,4964381487,sell,2978.842727272727,0.4249089753129549,sell
2025-12-01 00:04:59+00:00,2988.8254154027973,12862429613,buy,2978.0,0.3695078912021491,sell
2025-12-01 00:05:11+00:00,2985.5188809871597,17823747431,buy,2977.642,0.3873768570085395,sell
2025-12-01 00:05:11+00:00,2987.7126612044267,10463084451,sell,2977.284,0.40524582281492993,sell
2025-12-01 00:05:11+00:00,2984.4681829309,12848377192,buy,2976.926,0.42311478862132035,sell
2025-12-01 00:05:23+00:00,2985.169653281142,2066790000,sell,2976.568,0.44098375442771076,sell
2025-12-01 00:05:23+00:00,2983.3964975056388,13308666644,buy,2976.21,0.4588527202341012,sell
2025-12-01 00:05:23+00:00,2986.943481613999,8107623554,sell,2975.852,0.47672168604049164,sell
2025-12-01 00:05:35+00:00,2985.6407578275184,33525016676,buy,2975.494,0.49459065184688206,sell
2025-12-01 00:05:35+00:00,2990.4708377612365,637233,sell,2975.136,0.5124596176532725,sell
2025-12-01 00:05:35+00:00,2987.7411367777795,25302148051,sell,2974.7780000000002,0.5303285834596629,sell
2025-12-01 00:05:35+00:00,2988.817634712668,31789704113,sell,2974.42,0.5481975492660534,sell
2025-12-01 00:05:47+00:00,2985.132574080983,955363816,sell,2974.062,0.5660665150724438,sell
2025-12-01 00:05:47+00:00,2984.606560373545,6333095768,sell,2973.704,0.5839354808788342,sell
2025-12-01 00:05:47+00:00,2984.209553510594,30338837005,buy,2973.346,0.6018044466852246,sell
2025-12-01 00:05:47+00:00,2982.175942947109,1211722522,buy,2972.9880000000003,0.619673412491615,sell
2025-12-01 00:05:59+00:00,2985.288239834021,483982780,sell,2972.63,0.6375423782980054,sell
2025-12-01 00:05:59+00:00,2980.852183012937,13911653533,buy,2972.63,0.6375423782980054,sell
2025-12-01 00:06:11+00:00,2975.6249391875253,34070209465,buy,2971.1176923076923,0.661547943572636,sell
2025-12-01 00:06:11+00:00,2975.089648748272,1911855179,sell,2969.6053846153845,0.6855535088472667,sell
2025-12-01 00:06:11+00:00,2973.070910749969,12193671522,buy,2968.0930769230768,0.7095590741218973,sell
2025-12-01 00:06:11+00:00,2976.3384427302003,9524526157,sell,2966.5807692307694,0.733564639396528,sell
2025-12-01 00:06:23+00:00,2977.518015003791,42583666,sell,2965.0684615384616,0.7575702046711587,sell
2025-12-01 00:06:23+00:00,2975.879071701902,10668953234,sell,2963.556153846154,0.7815757699457894,sell
2025-12-01 00:06:35+00:00,2974.0804103964488,4263210319,buy,2962.043846153846,0.80558133522042,sell
2025-12-01 00:06:47+00:00,2978.0370098110507,120942000,sell,2960.5315384615383,0.8295869004950507,sell
2025-12-01 00:06:47+00:00,2977.3072499622835,6559097929,sell,2959.0192307692305,0.8535924657696813,sell
2025-12-01 00:06:47+00:00,2978.055518912237,47820707,sell,2957.506923076923,0.877598031044312,sell
2025-12-01 00:06:47+00:00,2978.0909857245,37173952,sell,2955.9946153846154,0.9016035963189426,sell
2025-12-01 00:06:47+00:00,2978.101389128245,58279966,sell,2954.4823076923076,0.9256091615935733,sell
2025-12-01 00:06:59+00:00,2976.162663241778,134285398,sell,2952.97,0.9496147268682039,sell
2025-12-01 00:06:59+00:00,2974.151332534748,8966462728,buy,2952.97,0.9496147268682039,sell
2025-12-01 00:07:11+00:00,2970.7839323653743,22151236535,buy,2950.0514285714285,1.1450146935898815,sell
2025-12-01 00:07:23+00:00,2971.652576977146,2877779475,sell,2947.132857142857,1.340414660311559,sell
2025-12-01 00:07:23+00:00,2968.712104853843,2597307100,buy,2944.214285714286,1.5358146270332367,sell
2025-12-01 00:07:47+00:00,2966.979039417572,13292339456,buy,2941.295714285714,1.7312145937549142,sell
2025-12-01 00:07:47+00:00,2968.5723508898946,148929197,sell,2938.3771428571426,1.9266145604765916,sell
2025-12-01 00:07:47+00:00,2968.526914738525,267614523,sell,2935.4585714285713,2.122014527198269,sell
2025-12-01 00:07:59+00:00,2959.661944571416,54654771557,buy,2932.54,2.3174144939199466,sell
2025-12-01 00:08:11+00:00,2957.71214316789,9069857485,sell,2932.77,2.2667822970417304,sell
2025-12-01 00:08:11+00:00,2956.697077951864,250999806,sell,2933.0,2.216150100163514,sell
2025-12-01 00:08:23+00:00,2960.784956912481,279158973,sell,2933.23,2.1655179032852985,sell
2025-12-01 00:08:23+00:00,2956.557762344395,11912158839,buy,2933.46,2.1148857064070823,sell
2025-12-01 00:08:23+00:00,2953.754922990101,13843888690,buy,2933.69,2.064253509528866,sell
2025-12-01 00:08:23+00:00,2958.219232722122,6356946,sell,2933.92,2.01362131265065,sell
2025-12-01 00:08:35+00:00,2956.7261106102665,13990533867,sell,2934.15,1.962989115772434,sell
2025-12-01 00:08:35+00:00,2959.6015658884894,146169844,sell,2934.38,1.912356918894218,sell
2025-12-01 00:08:35+00:00,2959.89611593404,263430902,sell,2934.61,1.8617247220160018,sell
2025-12-01 00:08:35+00:00,2959.676143949236,538252500,sell,2934.8399999999997,1.8110925251377856,sell
2025-12-01 00:08:35+00:00,2959.982431675473,528825633,sell,2935.0699999999997,1.7604603282595697,sell
