id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
3738143646,1920.45000000,0.00270000,5.18521500,1772397166317,False,True
3738143647,1920.45000000,0.00270000,5.18521500,1772397166317,False,True
3738143648,1920.45000000,0.00270000,5.18521500,1772397166317,False,True
3738143649,1920.45000000,0.00270000,5.18521500,1772397166317,False,True
3738143650,1920.45000000,0.00270000,5.18521500,1772397166317,False,True
3738143651,1920.47000000,0.00270000,5.18526900,1772397166317,False,True
3738143652,1920.48000000,0.00270000,5.18529600,1772397166317,False,True
3738143653,1920.48000000,0.00270000,5.18529600,1772397166317,False,True
3738143654,1920.48000000,0.00270000,5.18529600,1772397166317,False,True
3738143655,1920.48000000,0.00270000,5.18529600,1772397166317,False,True
3738143656,1920.49000000,0.00530000,10.17859700,1772397166317,False,True
3738143657,1920.49000000,0.00280000,5.37737200,1772397166317,False,True
3738143658,1920.49000000,0.00280000,5.37737200,1772397166317,False,True
3738143659,1920.49000000,0.00280000,5.37737200,1772397166317,False,True
3738143660,1920.50000000,0.00270000,5.18535000,1772397166317,False,True
3738143661,1920.50000000,0.00270000,5.18535000,1772397166317,False,True
3738143662,1920.50000000,0.00320000,6.14560000,1772397166317,False,True
3738143663,1920.50000000,0.05290000,101.59445000,1772397166317,False,True
3738143664,1920.50000000,0.00310000,5.95355000,1772397166792,False,True
