datetime,price_uniswap,price_binance,spread,volume_eth_uniswap,direction_uniswap,profit,spread_zscore,strong_signal,event_id
2025-12-01 00:04:47+00:00,2989.869931987336,2979.6854545454544,-10.184477441881427,11.021082404443398,sell,13.05422349317952,-2.007355067279923,False,0
2025-12-01 00:04:47+00:00,2992.669038217221,2978.842727272727,-13.826310944493798,1.658847478155272,sell,8.006113739066725,-2.674641129391314,False,0
2025-12-01 00:05:11+00:00,2987.7126612044267,2977.284,-10.42866120442659,3.50203839440907,sell,5.003226390504621,-1.5811429826532748,False,1
2025-12-01 00:05:23+00:00,2986.943481613999,2975.852,-11.091481613999349,2.714354524585458,sell,5.67702258204643,-1.645799236796605,False,2
2025-12-01 00:05:35+00:00,2990.4708377612365,2975.136,-15.334837761236486,0.0002130878495631,sell,0.0013498769558730054,-2.376340902761325,False,3
2025-12-01 00:05:35+00:00,2987.7411367777795,2974.778,-12.96313677777971,8.468654710256416,sell,33.562436940534575,-1.75849377020132,False,3
2025-12-01 00:05:35+00:00,2988.817634712668,2974.42,-14.39763471266815,10.636214047919362,sell,57.41039815641817,-1.9615273413356182,False,3
2025-12-01 00:05:47+00:00,2985.132574080983,2974.062,-11.070574080983079,0.3200406656291045,sell,0.6626679071121958,-1.2233869176290153,False,4
2025-12-01 00:05:47+00:00,2984.606560373545,2973.704,-10.90256037354493,2.121919804132363,sell,4.037080535182453,-1.1591421022854524,False,4
2025-12-01 00:05:59+00:00,2985.288239834021,2972.63,-12.65823983402106,0.1621226297487806,sell,0.593083462143237,-1.4456033431666246,False,5
2025-12-01 00:06:11+00:00,2976.3384427302003,2966.5807692307694,-9.757673499430894,3.2000816910670737,sell,2.4246170933355216,-0.826186285381556,False,6
2025-12-01 00:06:23+00:00,2975.879071701902,2963.556153846154,-12.322917855748074,3.585143407019707,sell,11.913137042603267,-1.340022392160114,False,7
2025-12-01 00:06:23+00:00,2977.518015003791,2965.0684615384616,-12.449553465329245,0.0143017324447475,sell,0.04933459071499044,-1.4001494803169885,False,7
2025-12-01 00:06:47+00:00,2978.0370098110507,2960.5315384615383,-17.50547134951239,0.040611315306546,sell,0.345418378805841,-2.277771378140071,False,8
2025-12-01 00:06:47+00:00,2977.3072499622835,2959.0192307692305,-18.28801919305306,2.203030247913812,sell,20.46178722549993,-2.3075263725189146,False,8
2025-12-01 00:06:47+00:00,2978.055518912237,2957.506923076923,-20.54859583531379,0.0160576949275502,sell,0.18544382876504562,-2.57523894348975,False,8
2025-12-01 00:06:47+00:00,2978.0909857245,2955.994615384616,-22.096370339884288,0.0124824769216903,sell,0.16347514052551498,-2.6724377764241813,False,8
2025-12-01 00:06:47+00:00,2978.101389128245,2954.482307692308,-23.619081435937005,0.0195695036484502,sell,0.2860881674975598,-2.7393572006095517,False,8
2025-12-01 00:06:59+00:00,2976.162663241778,2952.97,-23.192663241778064,0.0451203153841497,sell,0.6403774416100547,-2.413954625955602,False,9
2025-12-01 00:07:23+00:00,2971.652576977146,2947.132857142857,-24.519719834288935,0.968410472104166,sell,15.029459211648136,-2.4038070434603496,False,10
2025-12-01 00:07:47+00:00,2968.526914738525,2935.458571428572,-33.06834330995298,0.0901506136499261,sell,2.169775918929355,-3.2084901440489553,True,11
2025-12-01 00:07:47+00:00,2968.5723508898946,2938.377142857142,-30.19520803275236,0.0501686263281928,sell,1.0633344717434636,-2.5769920630305676,False,11
2025-12-01 00:08:11+00:00,2957.71214316789,2932.77,-24.942143167890208,3.066511224207786,sell,48.88676096226279,-1.7600176640507592,False,12
2025-12-01 00:08:11+00:00,2956.697077951864,2933.0,-23.697077951863776,0.0848919586222442,sell,1.2476637333575171,-1.6627131601877367,False,12
2025-12-01 00:08:23+00:00,2958.219232722122,2933.92,-24.299232722121815,0.0021489096986738,sell,0.03287666957883513,-1.6438868883135966,False,13
2025-12-01 00:08:23+00:00,2960.784956912481,2933.23,-27.554956912480975,0.0942854604648856,sell,1.749462656399381,-1.937994928148292,False,13
2025-12-01 00:08:35+00:00,2959.574359934703,2935.3,-24.274359934702716,0.0213364586661013,sell,0.3259007493979383,-1.2904283064861979,False,14
2025-12-01 00:08:35+00:00,2956.7261106102665,2934.15,-22.57611061026637,4.731765251030425,sell,64.23896842980386,-1.1289091753768932,False,14
2025-12-01 00:08:35+00:00,2959.676143949236,2934.84,-24.836143949235975,0.1818619584782625,sell,2.8799921533517407,-1.409627936064894,False,14
2025-12-01 00:08:35+00:00,2959.982431675473,2935.07,-24.912431675472817,0.1786583688270956,sell,2.842889087212581,-1.442515581799855,False,14
2025-12-01 00:08:35+00:00,2959.6015658884894,2934.38,-25.221565888489295,0.0493883520284322,sell,0.8011564065531168,-1.5024730993660738,False,14
2025-12-01 00:08:35+00:00,2959.89611593404,2934.61,-25.286115934040026,0.0890000498942748,sell,1.4494651307135062,-1.4326163854690122,False,14
2025-12-01 00:08:35+00:00,2959.545507805167,2935.99,-23.555507805167053,0.0680823009710802,sell,0.9909724631782904,-1.3686222296465655,False,14
2025-12-01 00:08:35+00:00,2959.5181715007634,2935.76,-23.758171500763183,0.016751037543,sell,0.24721468487531673,-1.4151362990951484,False,14
2025-12-01 00:08:35+00:00,2959.585632914106,2936.22,-23.3656329141063,0.0135025966323035,sell,0.19397334660692003,-1.397903494428598,False,14
2025-12-01 00:08:35+00:00,2956.5571417169253,2936.45,-20.107141716925526,0.1133737932104859,sell,1.2592587881742758,-1.0592429296784136,False,14
2025-12-01 00:08:35+00:00,2958.0528231561484,2935.53,-22.522823156148206,4.52975965747069,sell,61.25513878783061,-1.2362641458109453,False,14
2025-12-01 00:08:59+00:00,2950.385265143423,2936.91,-13.475265143423258,0.8077612253409041,sell,3.6149456559770075,-0.20940539438030278,False,15
2025-12-01 00:09:11+00:00,2942.652227990291,2931.905,-10.747227990290867,2.5691371151810274,sell,4.488868278539422,0.05912312731214591,False,16
2025-12-01 00:09:11+00:00,2941.4372030424274,2931.19,-10.247203042427373,0.0210075669594734,sell,0.02620070142585197,0.09475586211607265,False,16
2025-12-01 00:09:23+00:00,2943.544630160557,2929.76,-13.784630160556844,0.1314912649987196,sell,0.6291370723626464,-0.28767571167136313,False,17
2025-12-01 00:09:35+00:00,2942.60795415591,2928.33,-14.277954155910265,0.5972715687517235,sell,3.152371958500203,-0.3443375017325856,False,18
2025-12-01 00:09:47+00:00,2940.082509123098,2924.755,-15.327509123098025,0.0804146867533033,sell,0.5088246640625965,-0.45562598072980676,False,19
2025-12-01 00:09:47+00:00,2940.0326681729925,2924.04,-15.99266817299258,0.0241555958778282,sell,0.16891206649456003,-0.5276610408868031,False,19
2025-12-01 00:09:47+00:00,2940.155354633571,2925.4700000000003,-14.685354633570569,0.1403715627984005,sell,0.7980621149774283,-0.38591595782810545,False,19
2025-12-01 00:09:47+00:00,2940.283930105464,2927.615,-12.66893010546437,0.087053551318365,sell,0.31939339521953675,-0.16588682732385635,False,19
2025-12-01 00:09:47+00:00,2940.238266500674,2926.9,-13.338266500673853,0.0513139546270732,sell,0.22261361037572974,-0.23901341264810205,False,19
2025-12-01 00:09:47+00:00,2940.213066538556,2926.185,-14.028066538556232,0.025135766805841,sell,0.12638430799740158,-0.31433604474206667,False,19
2025-12-01 00:09:59+00:00,2943.3119299614204,2922.61,-20.70192996142032,0.0962892244328703,sell,1.1267697603529305,-1.0462222177418565,False,20
2025-12-01 00:09:59+00:00,2940.33752310848,2922.61,-17.72752310848,0.0753810813411922,sell,0.6578901293474655,-0.7040835843539862,False,20
2025-12-01 00:09:59+00:00,2942.079412066148,2922.61,-19.469412066147925,5.199999991589633,sell,54.44094265591761,-0.8956157629256559,False,20
2025-12-01 00:12:23+00:00,2928.752495765727,2919.5488235294115,-9.20367223631547,0.0236513229097187,sell,0.004817117828841705,0.05753828791865845,False,21
2025-12-01 00:16:59+00:00,2921.146973402834,2910.44,-10.706973402834137,0.3585270431566105,sell,0.611996126865101,-0.3220865217983948,False,22
2025-12-01 00:17:23+00:00,2918.9429252522204,2909.2250000000004,-9.717925252220084,0.0039824992463651,sell,0.002859136775912959,-0.21515300500086135,False,23
2025-12-01 00:17:23+00:00,2918.959718717833,2909.4680000000003,-9.491718717832555,0.0226258353537712,sell,0.011125546750046865,-0.18964348259368138,False,23
2025-12-01 00:17:35+00:00,2918.728503911168,2908.739,-9.989503911167958,0.2446717380678085,sell,0.24210364177035867,-0.24457937600084742,False,24
2025-12-01 00:19:47+00:00,2882.053134073406,2905.2527027027027,23.199568629296664,49.8610390138421,buy,708.0052454050893,2.6555517502605888,False,25
2025-12-01 00:20:23+00:00,2907.953140172973,2895.932,-12.021140172972991,0.0100527778787594,sell,0.030370851099494233,-0.6725259447595023,False,26
2025-12-01 00:23:59+00:00,2891.669724125455,2900.9,9.230275874544986,1.761993529029648,buy,0.40574460083990915,1.385846975842171,False,27
2025-12-01 00:31:35+00:00,2892.1004353137514,2882.0115384615383,-10.08889685221311,2.462134239548808,sell,2.6810102231708184,-0.7591401096055866,False,28
2025-12-01 00:31:35+00:00,2893.427730525724,2880.949230769231,-12.47849975649342,1.37553115912,sell,4.784784802048032,-1.0281316945578742,False,28
2025-12-01 00:31:47+00:00,2894.696490797944,2879.886923076923,-14.809567721021267,2.30347843934476,sell,13.38221398728576,-1.2889043921504961,False,29
2025-12-01 00:31:59+00:00,2894.9458122450646,2876.7,-18.245812245064826,1.036102068754746,sell,9.579605194429629,-1.6644966661312877,False,30
2025-12-01 00:35:11+00:00,2863.4274094464563,2874.785,11.35759055354356,4.9999999897911565,buy,11.787952743649525,1.740505667946225,False,31
2025-12-01 00:37:23+00:00,2881.141464916032,2870.907142857143,-10.23432205888912,4.845325300750844,sell,5.980691901210325,-0.8670063891591537,False,32
2025-12-01 00:37:47+00:00,2882.101934002512,2868.284285714285,-13.817648288226792,1.2384711164754,sell,5.966518254306035,-1.291494897022413,False,33
2025-12-01 00:37:59+00:00,2877.4907534784065,2867.41,-10.080753478406677,0.7883597517238812,sell,0.8520225439114092,-0.8416385000144351,False,34
2025-12-01 00:39:11+00:00,2725.9642916723674,2870.457,144.4927083276325,9.999999973321852,buy,1354.9270796616306,13.495566982885409,True,35
2025-12-01 00:39:11+00:00,2800.8184383591465,2870.279,69.46056164085348,193.7755261065609,buy,11715.77714065454,6.358674969292128,True,35
2025-12-01 00:40:47+00:00,2868.1919931581,2880.4506666666666,12.258673508566517,1.6082176817323477,buy,5.24065635546946,1.2938369381713781,False,36
2025-12-01 00:40:47+00:00,2866.356177614976,2879.7813333333334,13.425155718357473,3.776661107764851,buy,16.7123134973239,1.3942046137480262,False,36
2025-12-01 00:52:47+00:00,2850.6416268358626,2841.072,-9.569626835862437,0.0073029169307077,sell,0.004159937463805244,-0.7346674068221332,False,37
2025-12-01 00:52:47+00:00,2850.079959990805,2840.376,-9.703959990804833,1.5789030705000002,sell,1.1114845909909028,-0.7470880728222762,False,37
2025-12-01 00:53:11+00:00,2849.693432830189,2839.258333333333,-10.435099496855855,1.5791172300000005,sell,2.2661903422494127,-0.817166719002409,False,38
2025-12-01 00:56:23+00:00,2830.5614348124973,2840.262,9.700565187502889,3.5008448667203784,buy,2.4525700404724877,1.1680611488934023,False,39
2025-12-01 01:15:35+00:00,2844.3313872019776,2854.692,10.36061279802243,5.249816280967565,buy,7.142967219150986,1.164948037875836,False,40
2025-12-01 01:18:59+00:00,2859.728721901042,2850.7,-9.02872190104199,3.49683518,sell,0.10043575400011051,-1.1007058505986613,False,41
2025-12-01 02:02:35+00:00,2849.301830871034,2858.396,9.094169128966314,1.870237289101436,buy,0.17611861647500265,2.52750184580646,False,42
2025-12-01 02:03:11+00:00,2851.0240707400653,2864.485,13.460929259934801,0.59439999977275,buy,2.6515763510915,3.7139473672281706,True,43
2025-12-01 02:03:11+00:00,2850.325026268168,2862.99,12.664973731831651,1.395702790151104,buy,5.11521406334794,3.40191531431205,True,43
2025-12-01 02:04:23+00:00,2860.513400082174,2869.922,9.408599917825995,1.0100454666344163,buy,0.41270449466734166,2.3476769234661092,False,44
2025-12-01 02:35:23+00:00,2861.643560196966,2851.896,-9.747560196965878,0.0012082385270099,sell,0.0009032310312332835,-2.7224691135163983,False,45
2025-12-01 02:39:11+00:00,2832.901195502718,2846.5,13.59880449728189,12.642061750637444,buy,58.138370433746836,3.5431876341586004,True,46
2025-12-01 02:39:23+00:00,2837.1678337526782,2848.45,11.282166247321584,3.797863185889797,buy,8.667355174782912,2.8224852039526422,False,47
2025-12-01 02:39:23+00:00,2838.7270372424778,2849.75,11.022962757522237,0.7352948073611163,buy,1.4874740110910256,2.6924683930114117,False,47
2025-12-01 03:17:59+00:00,2821.70429093778,2831.84,10.13570906222003,1.1376973169407096,buy,1.292093152912978,2.788586656294615,False,48
2025-12-01 05:32:23+00:00,2830.417232766624,2820.536,-9.881232766623725,24.620627667633297,sell,21.696503835561124,-3.94020101805649,True,49
2025-12-01 05:32:23+00:00,2838.955123588787,2820.549,-18.406123588787068,7.51874997975199,sell,70.72229154273748,-6.368769278772645,True,49
2025-12-01 06:32:11+00:00,2842.9361609274943,2828.497619047619,-14.438541879875174,4.511249999302074,sell,24.53462205179118,-4.352891324794252,True,50
2025-12-01 09:00:59+00:00,2836.9925743024382,2847.13,10.137425697561866,1.6800126042529078,buy,1.9108895083050914,4.067720418680583,True,51
2025-12-01 09:30:23+00:00,2829.669522981301,2838.7816666666668,9.112143685365936,17.74928450163468,buy,1.9904701766218056,3.1111723321153417,True,52
2025-12-01 11:18:23+00:00,2853.49704994917,2844.045625,-9.451424949169905,25.305103933885707,sell,11.423355257093512,-5.188797540495878,True,53
2025-12-01 11:18:23+00:00,2862.361653939314,2844.1825,-18.179153939313892,10.024999986115793,sell,92.02101811417648,-6.4524302770929225,True,53
2025-12-01 12:01:59+00:00,2841.318402197553,2832.16,-9.158402197553187,2.8651839912428e-05,sell,4.538514406070704e-06,-3.0143882315044745,True,54
2025-12-01 12:48:35+00:00,2812.3534289278887,2803.112727272728,-9.240701655160592,0.198091708627239,sell,0.04768100214016616,-3.381616652534142,True,55
2025-12-01 12:48:47+00:00,2811.3425764111034,2801.936363636364,-9.406212774739288,0.3455128244242684,sell,0.14035172311739044,-3.3292401259337123,True,56
2025-12-01 12:49:59+00:00,2800.299826982355,2816.26,15.960173017645047,4.723724877437329,buy,32.87794243471795,3.695238651377036,True,57
2025-12-01 12:50:35+00:00,2811.9973879806184,2821.938571428572,9.941183447953335,1.6561430963292556,buy,1.5587344697072818,1.6758775874108263,False,58
2025-12-01 12:50:35+00:00,2809.4342014159124,2822.506428571429,13.07222715551643,5.727657749339755,buy,23.324323424365467,2.249590249819586,False,58
2025-12-01 12:50:35+00:00,2806.639850888165,2823.074285714286,16.434434826121105,2.331706237239189,buy,17.334918054414825,2.838545048607663,False,58
2025-12-01 12:50:59+00:00,2813.236585339457,2824.21,10.973414660542858,1.9436099823578212,buy,3.8355484335623693,1.769823064626937,False,59
