datetime,price_uniswap,volume_eth_uniswap,direction_uniswap,price_binance,volume_eth_binance,direction_binance,price_ratio
2025-12-09 17:13:47+00:00,4517.012702738605,4,sell,3390.502307692308,0.2992117148616002,sell,1.332254720042659
2025-12-14 06:31:47+00:00,4140.877831648206,4,sell,3106.346666666667,0.0070593344929672,sell,1.3330378982110407
2025-12-19 23:28:11+00:00,4478.932222558143,3,sell,2985.20125,0.0186196489391657,sell,1.5003786503701024
2025-12-21 03:47:59+00:00,5944.035597164861,2,sell,2973.11,0.0125160185798709,buy,1.999265280182994
2025-12-21 10:55:11+00:00,3996.654192949065,4,sell,2997.6046666666666,0.0064698529342793,sell,1.3332826164143055
2025-12-26 08:48:35+00:00,4437.656467052018,3,sell,2960.5515384615383,0.0298650005257995,buy,1.4989289696196484
2025-12-27 01:52:47+00:00,5855.168084602963,2,sell,2927.0606666666663,0.0060848421706193,buy,2.000357611743942
2025-12-27 10:48:47+00:00,5847.593606465699,2,sell,2925.5127272727277,0.0515806385959629,buy,1.9988269242352756
2025-12-27 11:00:23+00:00,5851.884793195036,2,sell,2925.5823529411764,0.0321669635888964,sell,2.0002461346924516
2025-12-27 11:01:35+00:00,5852.159036448101,2,sell,2925.547647058824,0.0350322507218338,sell,2.0003636045140203
2025-12-27 13:17:11+00:00,5859.456082512392,2,sell,2929.93,0.0057308109750062,buy,1.9998621409086197
2025-12-27 13:37:11+00:00,4395.991610003837,3,sell,2931.02,0.0336345119789797,buy,1.4998163130936797
2025-12-27 14:21:47+00:00,4392.6079033040105,3,sell,2927.552857142857,0.0044747624003109,buy,1.500436753033034
2025-12-27 18:59:35+00:00,5852.356207476304,2,sell,2926.1,0.0083862592294325,sell,2.0000533841892976
2025-12-27 19:57:23+00:00,5858.456263615675,2,sell,2930.1266666666666,0.1607294784749033,sell,1.9993866921392507
2025-12-27 23:59:59+00:00,5900.33626370387,2,sell,2950.3,0.048326271904552,buy,1.9999106069565364
2025-12-28 02:25:23+00:00,5890.010370423459,2,sell,2947.069285714286,0.0052331889673215,buy,1.9985992182046333
2025-12-28 08:34:23+00:00,3919.6852263853593,4,sell,2939.7580000000003,0.013612545157574,sell,1.3333360182659113
