event_id,start_time,end_time,trade_count,total_volume_eth,total_profit,avg_spread,direction,strong_signal_ratio,arbitrage_type
34,2025-12-01 00:37:59+00:00,2025-12-01 00:37:59+00:00,1,0.7883597517238812,0.8520225439114092,-10.080753478406677,sell,0.0,"Sell on Uniswap, Buy on Binance"
35,2025-12-01 00:39:11+00:00,2025-12-01 00:39:11+00:00,2,203.77552607988275,13070.70422031617,106.97663498424299,buy,1.0,"Buy on Uniswap, Sell on Binance"
36,2025-12-01 00:40:47+00:00,2025-12-01 00:40:47+00:00,2,5.384878789497199,21.95296985279336,12.841914613461995,buy,0.0,"Buy on Uniswap, Sell on Binance"
37,2025-12-01 00:52:47+00:00,2025-12-01 00:52:47+00:00,2,1.586205987430708,1.115644528454708,-9.636793413333635,sell,0.0,"Sell on Uniswap, Buy on Binance"
38,2025-12-01 00:53:11+00:00,2025-12-01 00:53:11+00:00,1,1.5791172300000005,2.2661903422494127,-10.435099496855855,sell,0.0,"Sell on Uniswap, Buy on Binance"
39,2025-12-01 00:56:23+00:00,2025-12-01 00:56:23+00:00,1,3.5008448667203784,2.4525700404724877,9.700565187502889,buy,0.0,"Buy on Uniswap, Sell on Binance"
40,2025-12-01 01:15:35+00:00,2025-12-01 01:15:35+00:00,1,5.249816280967565,7.142967219150986,10.36061279802243,buy,0.0,"Buy on Uniswap, Sell on Binance"
41,2025-12-01 01:18:59+00:00,2025-12-01 01:18:59+00:00,1,3.49683518,0.10043575400011051,-9.02872190104199,sell,0.0,"Sell on Uniswap, Buy on Binance"
42,2025-12-01 02:02:35+00:00,2025-12-01 02:02:35+00:00,1,1.870237289101436,0.17611861647500265,9.094169128966314,buy,0.0,"Buy on Uniswap, Sell on Binance"
43,2025-12-01 02:03:11+00:00,2025-12-01 02:03:11+00:00,2,1.9901027899238541,7.7667904144394395,13.062951495883226,buy,1.0,"Buy on Uniswap, Sell on Binance"
44,2025-12-01 02:04:23+00:00,2025-12-01 02:04:23+00:00,1,1.0100454666344163,0.41270449466734166,9.408599917825995,buy,0.0,"Buy on Uniswap, Sell on Binance"
45,2025-12-01 02:35:23+00:00,2025-12-01 02:35:23+00:00,1,0.0012082385270099,0.0009032310312332835,-9.747560196965878,sell,0.0,"Sell on Uniswap, Buy on Binance"
46,2025-12-01 02:39:11+00:00,2025-12-01 02:39:11+00:00,1,12.642061750637444,58.138370433746836,13.59880449728189,buy,1.0,"Buy on Uniswap, Sell on Binance"
47,2025-12-01 02:39:23+00:00,2025-12-01 02:39:23+00:00,2,4.533157993250914,10.154829185873938,11.15256450242191,buy,0.0,"Buy on Uniswap, Sell on Binance"
48,2025-12-01 03:17:59+00:00,2025-12-01 03:17:59+00:00,1,1.1376973169407096,1.292093152912978,10.13570906222003,buy,0.0,"Buy on Uniswap, Sell on Binance"
49,2025-12-01 05:32:23+00:00,2025-12-01 05:32:23+00:00,2,32.13937764738529,92.4187953782986,-14.143678177705397,sell,1.0,"Sell on Uniswap, Buy on Binance"
50,2025-12-01 06:32:11+00:00,2025-12-01 06:32:11+00:00,1,4.511249999302074,24.53462205179118,-14.438541879875174,sell,1.0,"Sell on Uniswap, Buy on Binance"
